# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193763 0.00845391
0.0135649 0.187511 0.00762033
0.0147981 0.18123 0.00755636
0.0160312 0.174906 0.00569005
0.0172644 0.168526 0.00624744
0.0184976 0.162075 0.00503821
0.0197307 0.155543 0.00429589
0.0209639 0.148938 0.00407943
0.022197 0.142293 0.00356014
0.0234302 0.135659 0.0038106
0.0246633 0.129094 0.00446472
0.0258964 0.122651 0.00372445
0.0271296 0.11638 0.00375846
0.0283627 0.110319 0.00322035
0.0295958 0.104495 0.00356929
0.030829 0.0989231 0.00290158
0.0320621 0.0936137 0.00308662
0.0332952 0.0885697 0.00277585
0.0345283 0.0837906 0.00269023
0.0357614 0.079273 0.00301931
0.0369945 0.0750115 0.00261934
0.0382276 0.0709987 0.00272694
0.0394606 0.0672265 0.00232
0.0406937 0.0636853 0.00253125
0.0419268 0.0603649 0.00253563
0.0431599 0.0572544 0.00222734
0.0443929 0.0543428 0.00238582
0.045626 0.0516189 0.00227346
0.046859 0.0490716 0.00226949
0.048092 0.0466899 0.00209666
0.0493251 0.0444631 0.0020974
0.0505581 0.0423808 0.00204295
0.0517911 0.0404328 0.00198386
0.0530241 0.0386096 0.00211063
0.0542571 0.0369025 0.00195436
0.0554901 0.0353032 0.00189876
0.0567231 0.0338038 0.00170944
0.057956 0.0323969 0.00169482
0.059189 0.0310756 0.00164583
0.060422 0.0298339 0.00167042
0.0616549 0.0286659 0.00170161
0.0628878 0.0275666 0.00164868
0.0641208 0.0265313 0.00150727
0.0653537 0.0255554 0.00138159
0.0665866 0.024635 0.00153673
0.0678195 0.023766 0.00151664
0.0690524 0.0229452 0.00141716
0.0702852 0.0221692 0.00136344
0.0715181 0.0214351 0.00147325
0.0727509 0.02074 0.00129182
0.0739838 0.0200812 0.0012787
0.0752166 0.0194563 0.0012797
0.0764494 0.0188631 0.00129915
0.0776822 0.0182994 0.00126075
0.078915 0.0177631 0.00120997
0.0801478 0.0172523 0.00125857
0.0813806 0.0167654 0.00116216
0.0826133 0.0163006 0.001149
0.083846 0.0158565 0.00112407
0.0850788 0.0154316 0.00112432
0.0863115 0.0150247 0.00105859
0.0875442 0.0146346 0.00102809
0.0887769 0.0142602 0.0010348
0.0900096 0.0139005 0.00101165
0.0912422 0.0135546 0.00101465
0.0924749 0.0132217 0.00101357
0.0937075 0.012901 0.000975439
0.0949401 0.012592 0.000979551
0.0961727 0.0122941 0.000947632
0.0980216 0.0118666 0.000954785
0.100487 0.0113306 0.000962851
0.102952 0.0108302 0.000941611
0.105417 0.0103625 0.000918299
0.107882 0.00992461 0.00089677
0.110347 0.0095137 0.000910366
0.112811 0.00912724 0.000938086
0.115276 0.00876278 0.000908607
0.117741 0.00841809 0.000881809
0.120205 0.0080912 0.000862065
0.12267 0.00778039 0.00087587
0.125134 0.00748415 0.000874632
0.127598 0.00720133 0.000895785
0.130063 0.00693099 0.000849582
0.133143 0.00660933 0.000849257
0.136839 0.00624522 0.000828093
0.140535 0.00590296 0.000817559
0.144231 0.00558069 0.000828696
0.147926 0.0052767 0.000798602
0.151621 0.00498963 0.000786754
0.155316 0.00471839 0.000788882
0.159011 0.00446213 0.000770855
0.162706 0.00422005 0.000768763
0.1664 0.00399137 0.000735055
0.17071 0.00374067 0.000717547
0.175635 0.00347432 0.000696993
0.18056 0.00322865 0.000677908
0.185484 0.00300319 0.00065807
0.190408 0.00279723 0.000649897
0.195331 0.00260963 0.000638506
0.200254 0.00243866 0.000621128
0.205177 0.00228236 0.000614031
0.210714 0.00212173 0.000600238
0.216865 0.00195979 0.000586224
0.223016 0.00181372 0.000580222
0.229166 0.00168257 0.000560651
0.235314 0.00156516 0.0005526
0.241462 0.00145964 0.000536749
0.248224 0.00135473 0.000535125
0.255599 0.00125118 0.000524341
0.262973 0.00115777 0.00051919
0.270345 0.00107392 0.000512738
0.277716 0.000998571 0.000500541
0.285085 0.000930169 0.000495892
0.293066 0.000862446 0.000499674
0.301659 0.000795996 0.000503697
0.31025 0.000735523 0.000515514
0.318839 0.000680203 0.000528702
0.328038 0.000626186 0.000527597
0.337848 0.000574498 0.000524905
0.347654 0.00052804 0.000525668
0.357457 0.000485421 0.000524811
0.367256 0.000446199 0.000546746
0.377664 0.000408159 0.00057671
0.388679 0.000371354 0.000603385
0.39969 0.000337542 0.000685203
0.411307 0.000304872 0.000769501
0.423529 0.000273714 0.000857702
0.435744 0.000245893 0.000981836
0.447953 0.000221283 0.00117414
