# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193774 0.00845391
0.0135649 0.187535 0.00762033
0.0147981 0.181268 0.00755636
0.0160312 0.17496 0.00569005
0.0172644 0.168598 0.00624744
0.0184976 0.162169 0.00503821
0.0197307 0.155664 0.00429589
0.0209639 0.149092 0.00407943
0.022197 0.142487 0.00356014
0.0234302 0.135898 0.0038106
0.0246633 0.129382 0.00446472
0.0258964 0.122992 0.00372445
0.0271296 0.116775 0.00375846
0.0283627 0.110767 0.00322035
0.0295958 0.10499 0.00356929
0.030829 0.0994628 0.00290158
0.0320621 0.094192 0.00308662
0.0332952 0.0891815 0.00277585
0.0345283 0.0844304 0.00269023
0.0357614 0.0799352 0.00301931
0.0369945 0.07569 0.00261934
0.0382276 0.0716872 0.00272694
0.0394606 0.0679184 0.00232
0.0406937 0.0643743 0.00253125
0.0419268 0.0610451 0.00253563
0.0431599 0.0579203 0.00222734
0.0443929 0.0549895 0.00238582
0.045626 0.0522419 0.00227346
0.046859 0.0496669 0.00226949
0.048092 0.0472543 0.00209666
0.0493251 0.0449941 0.0020974
0.0505581 0.0428767 0.00204295
0.0517911 0.0408927 0.00198386
0.0530241 0.0390336 0.00211063
0.0542571 0.037291 0.00195436
0.0554901 0.0356572 0.00189876
0.0567231 0.0341247 0.00170944
0.057956 0.0326866 0.00169482
0.059189 0.0313361 0.00164583
0.060422 0.0300673 0.00167042
0.0616549 0.0288745 0.00170161
0.0628878 0.0277525 0.00164868
0.0641208 0.0266964 0.00150727
0.0653537 0.0257018 0.00138159
0.0665866 0.0247644 0.00153673
0.0678195 0.0238802 0.00151664
0.0690524 0.0230454 0.00141716
0.0702852 0.0222568 0.00136344
0.0715181 0.0215112 0.00147325
0.0727509 0.0208056 0.00129182
0.0739838 0.0201373 0.0012787
0.0752166 0.0195039 0.0012797
0.0764494 0.0189029 0.00129915
0.0776822 0.0183321 0.00126075
0.078915 0.0177897 0.00120997
0.0801478 0.0172737 0.00125857
0.0813806 0.0167825 0.00116216
0.0826133 0.0163145 0.001149
0.083846 0.0158682 0.00112407
0.0850788 0.0154423 0.00112432
0.0863115 0.0150353 0.00105859
0.0875442 0.0146461 0.00102809
0.0887769 0.0142736 0.0010348
0.0900096 0.0139168 0.00101165
0.0912422 0.0135746 0.00101465
0.0924749 0.0132461 0.00101357
0.0937075 0.0129303 0.000975439
0.0949401 0.0126266 0.000979551
0.0961727 0.0123341 0.000947632
0.0980216 0.011915 0.000954785
0.100487 0.0113893 0.000962851
0.102952 0.0108972 0.000941611
0.105417 0.0104349 0.000918299
0.107882 0.00999923 0.00089677
0.110347 0.00958787 0.000910366
0.112811 0.0091987 0.000938086
0.115276 0.00882985 0.000908607
0.117741 0.00847991 0.000881809
0.120205 0.00814774 0.000862065
0.12267 0.00783224 0.00087587
0.125134 0.00753227 0.000874632
0.127598 0.00724668 0.000895785
0.130063 0.00697443 0.000849582
0.133143 0.00665133 0.000849257
0.136839 0.00628618 0.000828093
0.140535 0.0059426 0.000817559
0.144231 0.0056181 0.000828696
0.147926 0.00531077 0.000798602
0.151621 0.00501939 0.000786754
0.155316 0.0047432 0.000788882
0.159011 0.00448183 0.000770855
0.162706 0.00423487 0.000768763
0.1664 0.00400195 0.000735055
0.17071 0.00374745 0.000717547
0.175635 0.00347845 0.000696993
0.18056 0.00323156 0.000677908
0.185484 0.00300542 0.00065807
0.190408 0.00279823 0.000649897
0.195331 0.00260832 0.000638506
0.200254 0.00243423 0.000621128
0.205177 0.00227496 0.000614031
0.210714 0.00211246 0.000600238
0.216865 0.00195102 0.000586224
0.223016 0.00180712 0.000580222
0.229166 0.00167799 0.000560651
0.235314 0.00156137 0.0005526
0.241462 0.00145574 0.000536749
0.248224 0.00135074 0.000535125
0.255599 0.00124757 0.000524341
0.262973 0.00115448 0.00051919
0.270345 0.0010704 0.000512738
0.277716 0.0009945 0.000500541
0.285085 0.000925702 0.000495892
0.293066 0.000858082 0.000499674
0.301659 0.000792384 0.000503697
0.31025 0.000732872 0.000515514
0.318839 0.0006781 0.000528702
0.328038 0.000623782 0.000527597
0.337848 0.000570706 0.000524905
0.347654 0.000522667 0.000525668
0.357457 0.000479277 0.000524811
0.367256 0.00043994 0.000546746
0.377664 0.000402325 0.00057671
0.388679 0.000366755 0.000603385
0.39969 0.000334528 0.000685203
0.411307 0.000303417 0.000769501
0.423529 0.000273517 0.000857702
0.435744 0.000246427 0.000981836
0.447953 0.000222102 0.00117414
