# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.196263 0.00845391
0.0135649 0.19251 0.00762033
0.0147981 0.188727 0.00755636
0.0160312 0.184899 0.00569005
0.0172644 0.181012 0.00624744
0.0184976 0.177052 0.00503821
0.0197307 0.173004 0.00429589
0.0209639 0.168861 0.00407943
0.022197 0.164621 0.00356014
0.0234302 0.160293 0.0038106
0.0246633 0.15589 0.00446472
0.0258964 0.151431 0.00372445
0.0271296 0.146944 0.00375846
0.0283627 0.142451 0.00322035
0.0295958 0.137976 0.00356929
0.030829 0.133536 0.00290158
0.0320621 0.129146 0.00308662
0.0332952 0.124821 0.00277585
0.0345283 0.120572 0.00269023
0.0357614 0.116407 0.00301931
0.0369945 0.112335 0.00261934
0.0382276 0.10836 0.00272694
0.0394606 0.104485 0.00232
0.0406937 0.100714 0.00253125
0.0419268 0.0970444 0.00253563
0.0431599 0.0934778 0.00222734
0.0443929 0.0900135 0.00238582
0.045626 0.086651 0.00227346
0.046859 0.0833896 0.00226949
0.048092 0.0802284 0.00209666
0.0493251 0.0771663 0.0020974
0.0505581 0.0742021 0.00204295
0.0517911 0.0713344 0.00198386
0.0530241 0.0685616 0.00211063
0.0542571 0.065882 0.00195436
0.0554901 0.0632937 0.00189876
0.0567231 0.0607951 0.00170944
0.057956 0.0583843 0.00169482
0.059189 0.0560597 0.00164583
0.060422 0.0538196 0.00167042
0.0616549 0.0516625 0.00170161
0.0628878 0.0495866 0.00164868
0.0641208 0.0475901 0.00150727
0.0653537 0.045671 0.00138159
0.0665866 0.043827 0.00153673
0.0678195 0.0420559 0.00151664
0.0690524 0.0403553 0.00141716
0.0702852 0.0387226 0.00136344
0.0715181 0.0371555 0.00147325
0.0727509 0.0356515 0.00129182
0.0739838 0.0342085 0.0012787
0.0752166 0.0328241 0.0012797
0.0764494 0.0314963 0.00129915
0.0776822 0.030223 0.00126075
0.078915 0.0290021 0.00120997
0.0801478 0.0278315 0.00125857
0.0813806 0.0267092 0.00116216
0.0826133 0.0256334 0.001149
0.083846 0.024602 0.00112407
0.0850788 0.0236132 0.00112432
0.0863115 0.0226651 0.00105859
0.0875442 0.021756 0.00102809
0.0887769 0.0208845 0.0010348
0.0900096 0.0200488 0.00101165
0.0912422 0.0192476 0.00101465
0.0924749 0.0184795 0.00101357
0.0937075 0.0177432 0.000975439
0.0949401 0.0170375 0.000979551
0.0961727 0.0163612 0.000947632
0.0980216 0.0153994 0.000954785
0.100487 0.0142097 0.000962851
0.102952 0.013119 0.000941611
0.105417 0.01212 0.000918299
0.107882 0.0112064 0.00089677
0.110347 0.0103725 0.000910366
0.112811 0.00961254 0.000938086
0.115276 0.00892162 0.000908607
0.117741 0.00829479 0.000881809
0.120205 0.00772733 0.000862065
0.12267 0.0072147 0.00087587
0.125134 0.00675236 0.000874632
0.127598 0.00633605 0.000895785
0.130063 0.00596178 0.000849582
0.133143 0.00554706 0.000849257
0.136839 0.00511748 0.000828093
0.140535 0.00475061 0.000817559
0.144231 0.0044353 0.000828696
0.147926 0.0041619 0.000798602
0.151621 0.00392185 0.000786754
0.155316 0.00370794 0.000788882
0.159011 0.00351443 0.000770855
0.162706 0.00333668 0.000768763
0.1664 0.0031711 0.000735055
0.17071 0.00298952 0.000717547
0.175635 0.00279307 0.000696993
0.18056 0.00260574 0.000677908
0.185484 0.00242622 0.00065807
0.190408 0.00225455 0.000649897
0.195331 0.00209149 0.000638506
0.200254 0.00193779 0.000621128
0.205177 0.00179391 0.000614031
0.210714 0.00164402 0.000600238
0.216865 0.00149233 0.000586224
0.223016 0.00135582 0.000580222
0.229166 0.00123406 0.000560651
0.235314 0.00112659 0.0005526
0.241462 0.00103295 0.000536749
0.248224 0.000944902 0.000535125
0.255599 0.000864884 0.000524341
0.262973 0.000799155 0.00051919
0.270345 0.000744983 0.000512738
0.277716 0.000699424 0.000500541
0.285085 0.000659652 0.000495892
0.293066 0.000620314 0.000499674
0.301659 0.000579934 0.000503697
0.31025 0.000540623 0.000515514
0.318839 0.000502495 0.000528702
0.328038 0.000463248 0.000527597
0.337848 0.000423727 0.000524905
0.347654 0.000387902 0.000525668
0.357457 0.000357165 0.000524811
0.367256 0.000331982 0.000546746
0.377664 0.000310254 0.00057671
0.388679 0.00029071 0.000603385
0.39969 0.000272842 0.000685203
0.411307 0.000254379 0.000769501
0.423529 0.000234873 0.000857702
0.435744 0.00021584 0.000981836
0.447953 0.000198046 0.00117414
