# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.195127 0.00845391
0.0135649 0.190239 0.00762033
0.0147981 0.185322 0.00755636
0.0160312 0.180362 0.00569005
0.0172644 0.175346 0.00624744
0.0184976 0.170259 0.00503821
0.0197307 0.165091 0.00429589
0.0209639 0.159842 0.00407943
0.022197 0.154526 0.00356014
0.0234302 0.14917 0.0038106
0.0246633 0.143809 0.00446472
0.0258964 0.138478 0.00372445
0.0271296 0.133214 0.00375846
0.0283627 0.128045 0.00322035
0.0295958 0.122995 0.00356929
0.030829 0.11808 0.00290158
0.0320621 0.113314 0.00308662
0.0332952 0.108704 0.00277585
0.0345283 0.104257 0.00269023
0.0357614 0.0999751 0.00301931
0.0369945 0.0958595 0.00261934
0.0382276 0.0919091 0.00272694
0.0394606 0.0881214 0.00232
0.0406937 0.0844924 0.00253125
0.0419268 0.0810175 0.00253563
0.0431599 0.0776916 0.00222734
0.0443929 0.0745091 0.00238582
0.045626 0.0714644 0.00227346
0.046859 0.068552 0.00226949
0.048092 0.0657661 0.00209666
0.0493251 0.0631011 0.0020974
0.0505581 0.0605517 0.00204295
0.0517911 0.0581127 0.00198386
0.0530241 0.055779 0.00211063
0.0542571 0.0535458 0.00195436
0.0554901 0.0514084 0.00189876
0.0567231 0.0493624 0.00170944
0.057956 0.0474037 0.00169482
0.059189 0.0455285 0.00164583
0.060422 0.0437333 0.00167042
0.0616549 0.0420148 0.00170161
0.0628878 0.0403698 0.00164868
0.0641208 0.0387954 0.00150727
0.0653537 0.0372885 0.00138159
0.0665866 0.0358463 0.00153673
0.0678195 0.0344661 0.00151664
0.0690524 0.033145 0.00141716
0.0702852 0.0318805 0.00136344
0.0715181 0.0306701 0.00147325
0.0727509 0.0295114 0.00129182
0.0739838 0.0284021 0.0012787
0.0752166 0.02734 0.0012797
0.0764494 0.0263229 0.00129915
0.0776822 0.0253488 0.00126075
0.078915 0.0244159 0.00120997
0.0801478 0.0235224 0.00125857
0.0813806 0.0226664 0.00116216
0.0826133 0.0218464 0.001149
0.083846 0.0210606 0.00112407
0.0850788 0.0203075 0.00112432
0.0863115 0.0195855 0.00105859
0.0875442 0.0188932 0.00102809
0.0887769 0.0182293 0.0010348
0.0900096 0.0175926 0.00101165
0.0912422 0.0169819 0.00101465
0.0924749 0.0163963 0.00101357
0.0937075 0.0158347 0.000975439
0.0949401 0.015296 0.000979551
0.0961727 0.0147793 0.000947632
0.0980216 0.0140437 0.000954785
0.100487 0.0131316 0.000962851
0.102952 0.0122926 0.000941611
0.105417 0.0115205 0.000918299
0.107882 0.0108097 0.00089677
0.110347 0.0101552 0.000910366
0.112811 0.00955231 0.000938086
0.115276 0.00899674 0.000908607
0.117741 0.00848461 0.000881809
0.120205 0.00801244 0.000862065
0.12267 0.00757721 0.00087587
0.125134 0.00717611 0.000874632
0.127598 0.00680661 0.000895785
0.130063 0.00646639 0.000849582
0.133143 0.00607893 0.000849257
0.136839 0.00566388 0.000828093
0.140535 0.00529622 0.000817559
0.144231 0.00496896 0.000828696
0.147926 0.00467545 0.000798602
0.151621 0.00440959 0.000786754
0.155316 0.00416614 0.000788882
0.159011 0.0039409 0.000770855
0.162706 0.00373067 0.000768763
0.1664 0.00353314 0.000735055
0.17071 0.00331664 0.000717547
0.175635 0.00308547 0.000696993
0.18056 0.00287002 0.000677908
0.185484 0.00266899 0.00065807
0.190408 0.00248142 0.000649897
0.195331 0.00230656 0.000638506
0.200254 0.00214375 0.000621128
0.205177 0.00199243 0.000614031
0.210714 0.00183534 0.000600238
0.216865 0.0016768 0.000586224
0.223016 0.00153489 0.000580222
0.229166 0.00140934 0.000560651
0.235314 0.00129904 0.0005526
0.241462 0.00120233 0.000536749
0.248224 0.00110934 0.000535125
0.255599 0.00102146 0.000524341
0.262973 0.000945634 0.00051919
0.270345 0.000880053 0.000512738
0.277716 0.000822932 0.000500541
0.285085 0.000772283 0.000495892
0.293066 0.000722291 0.000499674
0.301659 0.000671709 0.000503697
0.31025 0.000623328 0.000515514
0.318839 0.000577211 0.000528702
0.328038 0.000530804 0.000527597
0.337848 0.000485349 0.000524905
0.347654 0.000444791 0.000525668
0.357457 0.000409426 0.000524811
0.367256 0.000378903 0.000546746
0.377664 0.000350862 0.00057671
0.388679 0.000324472 0.000603385
0.39969 0.000300005 0.000685203
0.411307 0.000275515 0.000769501
0.423529 0.000251071 0.000857702
0.435744 0.000228345 0.000981836
0.447953 0.000207633 0.00117414
