# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.194672 0.00845391
0.0135649 0.189328 0.00762033
0.0147981 0.183956 0.00755636
0.0160312 0.178539 0.00569005
0.0172644 0.173066 0.00624744
0.0184976 0.16752 0.00503821
0.0197307 0.161892 0.00429589
0.0209639 0.156184 0.00407943
0.022197 0.150417 0.00356014
0.0234302 0.144627 0.0038106
0.0246633 0.138855 0.00446472
0.0258964 0.133143 0.00372445
0.0271296 0.127533 0.00375846
0.0283627 0.122057 0.00322035
0.0295958 0.11674 0.00356929
0.030829 0.111598 0.00290158
0.0320621 0.106642 0.00308662
0.0332952 0.10188 0.00277585
0.0345283 0.097315 0.00269023
0.0357614 0.0929483 0.00301931
0.0369945 0.0887791 0.00261934
0.0382276 0.0848049 0.00272694
0.0394606 0.0810212 0.00232
0.0406937 0.0774221 0.00253125
0.0419268 0.0740009 0.00253563
0.0431599 0.0707505 0.00222734
0.0443929 0.0676634 0.00238582
0.045626 0.0647322 0.00227346
0.046859 0.0619495 0.00226949
0.048092 0.0593078 0.00209666
0.0493251 0.0567996 0.0020974
0.0505581 0.0544176 0.00204295
0.0517911 0.0521547 0.00198386
0.0530241 0.0500041 0.00211063
0.0542571 0.0479594 0.00195436
0.0554901 0.0460145 0.00189876
0.0567231 0.0441637 0.00170944
0.057956 0.0424017 0.00169482
0.059189 0.0407237 0.00164583
0.060422 0.0391249 0.00167042
0.0616549 0.0376014 0.00170161
0.0628878 0.036149 0.00164868
0.0641208 0.0347642 0.00150727
0.0653537 0.0334435 0.00138159
0.0665866 0.0321835 0.00153673
0.0678195 0.030981 0.00151664
0.0690524 0.0298331 0.00141716
0.0702852 0.0287369 0.00136344
0.0715181 0.0276896 0.00147325
0.0727509 0.0266887 0.00129182
0.0739838 0.0257319 0.0012787
0.0752166 0.0248169 0.0012797
0.0764494 0.0239416 0.00129915
0.0776822 0.0231041 0.00126075
0.078915 0.0223025 0.00120997
0.0801478 0.0215348 0.00125857
0.0813806 0.0207994 0.00116216
0.0826133 0.0200947 0.001149
0.083846 0.0194191 0.00112407
0.0850788 0.018771 0.00112432
0.0863115 0.0181492 0.00105859
0.0875442 0.0175523 0.00102809
0.0887769 0.0169791 0.0010348
0.0900096 0.0164285 0.00101165
0.0912422 0.0158996 0.00101465
0.0924749 0.0153912 0.00101357
0.0937075 0.0149027 0.000975439
0.0949401 0.0144332 0.000979551
0.0961727 0.0139819 0.000947632
0.0980216 0.0133377 0.000954785
0.100487 0.0125365 0.000962851
0.102952 0.0117967 0.000941611
0.105417 0.0111141 0.000918299
0.107882 0.0104848 0.00089677
0.110347 0.00990475 0.000910366
0.112811 0.00937008 0.000938086
0.115276 0.00887715 0.000908607
0.117741 0.00842229 0.000881809
0.120205 0.00800201 0.000862065
0.12267 0.00761322 0.00087587
0.125134 0.00725306 0.000874632
0.127598 0.00691894 0.000895785
0.130063 0.00660854 0.000849582
0.133143 0.00625068 0.000849257
0.136839 0.00586065 0.000828093
0.140535 0.00550808 0.000817559
0.144231 0.00518739 0.000828696
0.147926 0.00489365 0.000798602
0.151621 0.00462253 0.000786754
0.155316 0.00437026 0.000788882
0.159011 0.00413397 0.000770855
0.162706 0.00391158 0.000768763
0.1664 0.00370177 0.000735055
0.17071 0.00347168 0.000717547
0.175635 0.00322676 0.000696993
0.18056 0.00300002 0.000677908
0.185484 0.00279021 0.00065807
0.190408 0.00259612 0.000649897
0.195331 0.0024167 0.000638506
0.200254 0.00225094 0.000621128
0.205177 0.00209784 0.000614031
0.210714 0.0019395 0.000600238
0.216865 0.00177941 0.000586224
0.223016 0.00163478 0.000580222
0.229166 0.00150499 0.000560651
0.235314 0.00138948 0.0005526
0.241462 0.00128748 0.000536749
0.248224 0.00118936 0.000535125
0.255599 0.00109667 0.000524341
0.262973 0.00101615 0.00051919
0.270345 0.000945338 0.000512738
0.277716 0.000882318 0.000500541
0.285085 0.000825478 0.000495892
0.293066 0.000769203 0.000499674
0.301659 0.000713118 0.000503697
0.31025 0.000660624 0.000515514
0.318839 0.000611412 0.000528702
0.328038 0.000562543 0.000527597
0.337848 0.000514897 0.000524905
0.347654 0.000471595 0.000525668
0.357457 0.000432937 0.000524811
0.367256 0.000399371 0.000546746
0.377664 0.000368303 0.00057671
0.388679 0.000338649 0.000603385
0.39969 0.000311353 0.000685203
0.411307 0.000284697 0.000769501
0.423529 0.000258637 0.000857702
0.435744 0.000234651 0.000981836
0.447953 0.000212756 0.00117414
