# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.195257 0.00845391
0.0135649 0.190499 0.00762033
0.0147981 0.185711 0.00755636
0.0160312 0.18088 0.00569005
0.0172644 0.175992 0.00624744
0.0184976 0.171031 0.00503821
0.0197307 0.165986 0.00429589
0.0209639 0.160855 0.00407943
0.022197 0.155651 0.00356014
0.0234302 0.150398 0.0038106
0.0246633 0.145127 0.00446472
0.0258964 0.139873 0.00372445
0.0271296 0.13467 0.00375846
0.0283627 0.129547 0.00322035
0.0295958 0.12453 0.00356929
0.030829 0.119635 0.00290158
0.0320621 0.114875 0.00308662
0.0332952 0.11026 0.00277585
0.0345283 0.105796 0.00269023
0.0357614 0.101487 0.00301931
0.0369945 0.0973372 0.00261934
0.0382276 0.0933458 0.00272694
0.0394606 0.0895118 0.00232
0.0406937 0.0858325 0.00253125
0.0419268 0.0823042 0.00253563
0.0431599 0.0789228 0.00222734
0.0443929 0.0756839 0.00238582
0.045626 0.0725826 0.00227346
0.046859 0.0696142 0.00226949
0.048092 0.0667738 0.00209666
0.0493251 0.0640562 0.0020974
0.0505581 0.0614566 0.00204295
0.0517911 0.05897 0.00198386
0.0530241 0.0565915 0.00211063
0.0542571 0.0543161 0.00195436
0.0554901 0.0521391 0.00189876
0.0567231 0.0500561 0.00170944
0.057956 0.0480629 0.00169482
0.059189 0.0461555 0.00164583
0.060422 0.0443302 0.00167042
0.0616549 0.0425834 0.00170161
0.0628878 0.0409118 0.00164868
0.0641208 0.0393121 0.00150727
0.0653537 0.0377813 0.00138159
0.0665866 0.0363162 0.00153673
0.0678195 0.0349137 0.00151664
0.0690524 0.033571 0.00141716
0.0702852 0.0322851 0.00136344
0.0715181 0.0310535 0.00147325
0.0727509 0.0298735 0.00129182
0.0739838 0.0287427 0.0012787
0.0752166 0.0276591 0.0012797
0.0764494 0.0266204 0.00129915
0.0776822 0.0256247 0.00126075
0.078915 0.0246701 0.00120997
0.0801478 0.0237547 0.00125857
0.0813806 0.0228769 0.00116216
0.0826133 0.022035 0.001149
0.083846 0.0212274 0.00112407
0.0850788 0.0204526 0.00112432
0.0863115 0.0197093 0.00105859
0.0875442 0.018996 0.00102809
0.0887769 0.0183115 0.0010348
0.0900096 0.0176547 0.00101165
0.0912422 0.0170245 0.00101465
0.0924749 0.0164198 0.00101357
0.0937075 0.0158397 0.000975439
0.0949401 0.0152831 0.000979551
0.0961727 0.0147493 0.000947632
0.0980216 0.0139892 0.000954785
0.100487 0.0130475 0.000962851
0.102952 0.0121822 0.000941611
0.105417 0.011388 0.000918299
0.107882 0.0106596 0.00089677
0.110347 0.00999226 0.000910366
0.112811 0.00938137 0.000938086
0.115276 0.00882271 0.000908607
0.117741 0.008312 0.000881809
0.120205 0.00784501 0.000862065
0.12267 0.00741788 0.00087587
0.125134 0.00702683 0.000874632
0.127598 0.00666833 0.000895785
0.130063 0.00633929 0.000849582
0.133143 0.00596508 0.000849257
0.136839 0.00556373 0.000828093
0.140535 0.00520713 0.000817559
0.144231 0.00488862 0.000828696
0.147926 0.00460213 0.000798602
0.151621 0.00434244 0.000786754
0.155316 0.00410494 0.000788882
0.159011 0.00388579 0.000770855
0.162706 0.00368194 0.000768763
0.1664 0.00349112 0.000735055
0.17071 0.00328251 0.000717547
0.175635 0.00305985 0.000696993
0.18056 0.00285175 0.000677908
0.185484 0.00265653 0.00065807
0.190408 0.00247302 0.000649897
0.195331 0.0023008 0.000638506
0.200254 0.00213976 0.000621128
0.205177 0.00199001 0.000614031
0.210714 0.00183507 0.000600238
0.216865 0.00167923 0.000586224
0.223016 0.00153949 0.000580222
0.229166 0.00141472 0.000560651
0.235314 0.00130387 0.0005526
0.241462 0.00120597 0.000536749
0.248224 0.00111168 0.000535125
0.255599 0.00102246 0.000524341
0.262973 0.000945187 0.00051919
0.270345 0.000878187 0.000512738
0.277716 0.000819967 0.000500541
0.285085 0.000768591 0.000495892
0.293066 0.000718254 0.000499674
0.301659 0.000668058 0.000503697
0.31025 0.000620733 0.000515514
0.318839 0.00057572 0.000528702
0.328038 0.00053012 0.000527597
0.337848 0.000485098 0.000524905
0.347654 0.000444414 0.000525668
0.357457 0.000408366 0.000524811
0.367256 0.000377051 0.000546746
0.377664 0.000348386 0.00057671
0.388679 0.000321836 0.000603385
0.39969 0.000297837 0.000685203
0.411307 0.000274149 0.000769501
0.423529 0.000250284 0.000857702
0.435744 0.000227605 0.000981836
0.447953 0.000206735 0.00117414
