# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.196749 0.00845391
0.0135649 0.193483 0.00762033
0.0147981 0.190186 0.00755636
0.0160312 0.186843 0.00569005
0.0172644 0.183441 0.00624744
0.0184976 0.179965 0.00503821
0.0197307 0.176401 0.00429589
0.0209639 0.172738 0.00407943
0.022197 0.168972 0.00356014
0.0234302 0.165101 0.0038106
0.0246633 0.161132 0.00446472
0.0258964 0.157077 0.00372445
0.0271296 0.152959 0.00375846
0.0283627 0.1488 0.00322035
0.0295958 0.144618 0.00356929
0.030829 0.140433 0.00290158
0.0320621 0.136259 0.00308662
0.0332952 0.132112 0.00277585
0.0345283 0.128005 0.00269023
0.0357614 0.12395 0.00301931
0.0369945 0.119955 0.00261934
0.0382276 0.11603 0.00272694
0.0394606 0.112178 0.00232
0.0406937 0.108404 0.00253125
0.0419268 0.104708 0.00253563
0.0431599 0.101094 0.00222734
0.0443929 0.097561 0.00238582
0.045626 0.0941116 0.00227346
0.046859 0.0907464 0.00226949
0.048092 0.0874664 0.00209666
0.0493251 0.084272 0.0020974
0.0505581 0.0811636 0.00204295
0.0517911 0.0781409 0.00198386
0.0530241 0.0752038 0.00211063
0.0542571 0.0723515 0.00195436
0.0554901 0.0695836 0.00189876
0.0567231 0.0668993 0.00170944
0.057956 0.0642981 0.00169482
0.059189 0.0617794 0.00164583
0.060422 0.0593424 0.00167042
0.0616549 0.0569865 0.00170161
0.0628878 0.0547109 0.00164868
0.0641208 0.0525143 0.00150727
0.0653537 0.0503955 0.00138159
0.0665866 0.0483528 0.00153673
0.0678195 0.0463844 0.00151664
0.0690524 0.0444883 0.00141716
0.0702852 0.0426624 0.00136344
0.0715181 0.0409048 0.00147325
0.0727509 0.0392134 0.00129182
0.0739838 0.0375864 0.0012787
0.0752166 0.0360218 0.0012797
0.0764494 0.0345179 0.00129915
0.0776822 0.0330729 0.00126075
0.078915 0.0316849 0.00120997
0.0801478 0.030352 0.00125857
0.0813806 0.0290726 0.00116216
0.0826133 0.0278448 0.001149
0.083846 0.0266668 0.00112407
0.0850788 0.0255368 0.00112432
0.0863115 0.0244529 0.00105859
0.0875442 0.0234135 0.00102809
0.0887769 0.0224171 0.0010348
0.0900096 0.021462 0.00101165
0.0912422 0.0205467 0.00101465
0.0924749 0.0196699 0.00101357
0.0937075 0.0188302 0.000975439
0.0949401 0.0180263 0.000979551
0.0961727 0.0172568 0.000947632
0.0980216 0.0161647 0.000954785
0.100487 0.0148177 0.000962851
0.102952 0.0135877 0.000941611
0.105417 0.0124661 0.000918299
0.107882 0.0114455 0.00089677
0.110347 0.0105187 0.000910366
0.112811 0.00967918 0.000938086
0.115276 0.0089208 0.000908607
0.117741 0.00823744 0.000881809
0.120205 0.00762335 0.000862065
0.12267 0.00707294 0.00087587
0.125134 0.00658072 0.000874632
0.127598 0.00614153 0.000895785
0.130063 0.00575057 0.000849582
0.133143 0.00532242 0.000849257
0.136839 0.00488564 0.000828093
0.140535 0.00451905 0.000817559
0.144231 0.00420949 0.000828696
0.147926 0.00394557 0.000798602
0.151621 0.00371713 0.000786754
0.155316 0.00351575 0.000788882
0.159011 0.00333468 0.000770855
0.162706 0.00316873 0.000768763
0.1664 0.00301403 0.000735055
0.17071 0.00284388 0.000717547
0.175635 0.00265897 0.000696993
0.18056 0.00248179 0.000677908
0.185484 0.00231082 0.00065807
0.190408 0.00214571 0.000649897
0.195331 0.00198709 0.000638506
0.200254 0.00183576 0.000621128
0.205177 0.00169258 0.000614031
0.210714 0.00154216 0.000600238
0.216865 0.00138917 0.000586224
0.223016 0.00125159 0.000580222
0.229166 0.00112999 0.000560651
0.235314 0.00102428 0.0005526
0.241462 0.000934072 0.000536749
0.248224 0.000851304 0.000535125
0.255599 0.000778302 0.000524341
0.262973 0.000720198 0.00051919
0.270345 0.000673549 0.000512738
0.277716 0.000634968 0.000500541
0.285085 0.000601506 0.000495892
0.293066 0.000568359 0.000499674
0.301659 0.00053384 0.000503697
0.31025 0.000499083 0.000515514
0.318839 0.000464025 0.000528702
0.328038 0.000427209 0.000527597
0.337848 0.000390554 0.000524905
0.347654 0.000358303 0.000525668
0.357457 0.000331413 0.000524811
0.367256 0.000309817 0.000546746
0.377664 0.000291623 0.00057671
0.388679 0.000275713 0.000603385
0.39969 0.000261081 0.000685203
0.411307 0.000245388 0.000769501
0.423529 0.000227863 0.000857702
0.435744 0.000209855 0.000981836
0.447953 0.000192765 0.00117414
