# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.194103 0.00845391
0.0135649 0.188192 0.00762033
0.0147981 0.182253 0.00755636
0.0160312 0.176271 0.00569005
0.0172644 0.170234 0.00624744
0.0184976 0.164127 0.00503821
0.0197307 0.157941 0.00429589
0.0209639 0.151681 0.00407943
0.022197 0.145377 0.00356014
0.0234302 0.139074 0.0038106
0.0246633 0.132822 0.00446472
0.0258964 0.126671 0.00372445
0.0271296 0.120668 0.00375846
0.0283627 0.114846 0.00322035
0.0295958 0.109231 0.00356929
0.030829 0.103839 0.00290158
0.0320621 0.0986801 0.00308662
0.0332952 0.0937579 0.00277585
0.0345283 0.0890739 0.00269023
0.0357614 0.0846266 0.00301931
0.0369945 0.0804119 0.00261934
0.0382276 0.0764242 0.00272694
0.0394606 0.0726567 0.00232
0.0406937 0.0691014 0.00253125
0.0419268 0.0657497 0.00253563
0.0431599 0.0625923 0.00222734
0.0443929 0.0596194 0.00238582
0.045626 0.0568215 0.00227346
0.046859 0.0541888 0.00226949
0.048092 0.0517117 0.00209666
0.0493251 0.0493807 0.0020974
0.0505581 0.0471867 0.00204295
0.0517911 0.0451212 0.00198386
0.0530241 0.0431757 0.00211063
0.0542571 0.0413423 0.00195436
0.0554901 0.0396133 0.00189876
0.0567231 0.0379817 0.00170944
0.057956 0.0364409 0.00169482
0.059189 0.0349849 0.00164583
0.060422 0.0336079 0.00167042
0.0616549 0.0323049 0.00170161
0.0628878 0.0310711 0.00164868
0.0641208 0.0299021 0.00150727
0.0653537 0.0287939 0.00138159
0.0665866 0.0277426 0.00153673
0.0678195 0.0267446 0.00151664
0.0690524 0.0257966 0.00141716
0.0702852 0.0248954 0.00136344
0.0715181 0.0240382 0.00147325
0.0727509 0.0232223 0.00129182
0.0739838 0.0224453 0.0012787
0.0752166 0.0217048 0.0012797
0.0764494 0.0209986 0.00129915
0.0776822 0.0203248 0.00126075
0.078915 0.0196814 0.00120997
0.0801478 0.0190664 0.00125857
0.0813806 0.0184784 0.00116216
0.0826133 0.0179157 0.001149
0.083846 0.0173768 0.00112407
0.0850788 0.0168605 0.00112432
0.0863115 0.0163654 0.00105859
0.0875442 0.0158904 0.00102809
0.0887769 0.0154344 0.0010348
0.0900096 0.0149965 0.00101165
0.0912422 0.0145756 0.00101465
0.0924749 0.014171 0.00101357
0.0937075 0.0137819 0.000975439
0.0949401 0.0134074 0.000979551
0.0961727 0.013047 0.000947632
0.0980216 0.0125315 0.000954785
0.100487 0.011888 0.000962851
0.102952 0.0112907 0.000941611
0.105417 0.0107356 0.000918299
0.107882 0.0102191 0.00089677
0.110347 0.00973797 0.000910366
0.112811 0.00928907 0.000938086
0.115276 0.00886942 0.000908607
0.117741 0.00847631 0.000881809
0.120205 0.00810733 0.000862065
0.12267 0.00776036 0.00087587
0.125134 0.0074334 0.000874632
0.127598 0.00712478 0.000895785
0.130063 0.00683309 0.000849582
0.133143 0.00649048 0.000849257
0.136839 0.00610859 0.000828093
0.140535 0.00575543 0.000817559
0.144231 0.00542796 0.000828696
0.147926 0.00512341 0.000798602
0.151621 0.00483929 0.000786754
0.155316 0.00457337 0.000788882
0.159011 0.00432389 0.000770855
0.162706 0.00408936 0.000768763
0.1664 0.00386855 0.000735055
0.17071 0.003627 0.000717547
0.175635 0.00337034 0.000696993
0.18056 0.00313284 0.000677908
0.185484 0.00291322 0.00065807
0.190408 0.00271069 0.000649897
0.195331 0.00252458 0.000638506
0.200254 0.00235403 0.000621128
0.205177 0.00219801 0.000614031
0.210714 0.00203849 0.000600238
0.216865 0.00187951 0.000586224
0.223016 0.00173805 0.000580222
0.229166 0.00161198 0.000560651
0.235314 0.00149888 0.0005526
0.241462 0.00139648 0.000536749
0.248224 0.00129427 0.000535125
0.255599 0.00119373 0.000524341
0.262973 0.00110383 0.00051919
0.270345 0.00102386 0.000512738
0.277716 0.000952546 0.000500541
0.285085 0.000888164 0.000495892
0.293066 0.00082455 0.000499674
0.301659 0.000761952 0.000503697
0.31025 0.000704674 0.000515514
0.318839 0.000651944 0.000528702
0.328038 0.000599809 0.000527597
0.337848 0.00054886 0.000524905
0.347654 0.000502683 0.000525668
0.357457 0.000461267 0.000524811
0.367256 0.000424243 0.000546746
0.377664 0.000388861 0.00057671
0.388679 0.000355162 0.000603385
0.39969 0.00032486 0.000685203
0.411307 0.000295814 0.000769501
0.423529 0.000267663 0.000857702
0.435744 0.000241538 0.000981836
0.447953 0.000217518 0.00117414
