# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193669 0.00845391
0.0135649 0.187324 0.00762033
0.0147981 0.180953 0.00755636
0.0160312 0.174542 0.00569005
0.0172644 0.168078 0.00624744
0.0184976 0.16155 0.00503821
0.0197307 0.154948 0.00429589
0.0209639 0.148286 0.00407943
0.022197 0.141598 0.00356014
0.0234302 0.134939 0.0038106
0.0246633 0.128366 0.00446472
0.0258964 0.121937 0.00372445
0.0271296 0.115699 0.00375846
0.0283627 0.109687 0.00322035
0.0295958 0.103925 0.00356929
0.030829 0.0984286 0.00290158
0.0320621 0.0932038 0.00308662
0.0332952 0.0882523 0.00277585
0.0345283 0.0835718 0.00269023
0.0357614 0.079157 0.00301931
0.0369945 0.0750007 0.00261934
0.0382276 0.0710937 0.00272694
0.0394606 0.067426 0.00232
0.0406937 0.0639867 0.00253125
0.0419268 0.0607643 0.00253563
0.0431599 0.057747 0.00222734
0.0443929 0.0549225 0.00238582
0.045626 0.0522784 0.00227346
0.046859 0.0498031 0.00226949
0.048092 0.0474852 0.00209666
0.0493251 0.0453136 0.0020974
0.0505581 0.0432783 0.00204295
0.0517911 0.0413695 0.00198386
0.0530241 0.0395778 0.00211063
0.0542571 0.0378946 0.00195436
0.0554901 0.0363117 0.00189876
0.0567231 0.0348218 0.00170944
0.057956 0.0334182 0.00169482
0.059189 0.0320949 0.00164583
0.060422 0.030846 0.00167042
0.0616549 0.0296665 0.00170161
0.0628878 0.0285515 0.00164868
0.0641208 0.0274969 0.00150727
0.0653537 0.0264986 0.00138159
0.0665866 0.0255531 0.00153673
0.0678195 0.024657 0.00151664
0.0690524 0.0238073 0.00141716
0.0702852 0.023001 0.00136344
0.0715181 0.0222353 0.00147325
0.0727509 0.0215078 0.00129182
0.0739838 0.0208161 0.0012787
0.0752166 0.0201581 0.0012797
0.0764494 0.0195318 0.00129915
0.0776822 0.0189354 0.00126075
0.078915 0.0183671 0.00120997
0.0801478 0.0178252 0.00125857
0.0813806 0.0173082 0.00116216
0.0826133 0.0168145 0.001149
0.083846 0.0163428 0.00112407
0.0850788 0.0158917 0.00112432
0.0863115 0.0154601 0.00105859
0.0875442 0.0150469 0.00102809
0.0887769 0.0146509 0.0010348
0.0900096 0.0142713 0.00101165
0.0912422 0.013907 0.00101465
0.0924749 0.0135572 0.00101357
0.0937075 0.013221 0.000975439
0.0949401 0.0128975 0.000979551
0.0961727 0.012586 0.000947632
0.0980216 0.01214 0.000954785
0.100487 0.0115815 0.000962851
0.102952 0.0110603 0.000941611
0.105417 0.0105723 0.000918299
0.107882 0.0101142 0.00089677
0.110347 0.00968283 0.000910366
0.112811 0.00927591 0.000938086
0.115276 0.00889118 0.000908607
0.117741 0.00852666 0.000881809
0.120205 0.00818074 0.000862065
0.12267 0.00785218 0.00087587
0.125134 0.00753984 0.000874632
0.127598 0.00724261 0.000895785
0.130063 0.00695966 0.000849582
0.133143 0.00662493 0.000849257
0.136839 0.00624894 0.000828093
0.140535 0.00589867 0.000817559
0.144231 0.00557157 0.000828696
0.147926 0.00526521 0.000798602
0.151621 0.00497734 0.000786754
0.155316 0.00470614 0.000788882
0.159011 0.00445024 0.000770855
0.162706 0.00420869 0.000768763
0.1664 0.00398084 0.000735055
0.17071 0.0037317 0.000717547
0.175635 0.00346786 0.000696993
0.18056 0.003225 0.000677908
0.185484 0.00300153 0.00065807
0.190408 0.00279594 0.000649897
0.195331 0.00260685 0.000638506
0.200254 0.002433 0.000621128
0.205177 0.00227322 0.000614031
0.210714 0.00210904 0.000600238
0.216865 0.00194456 0.000586224
0.223016 0.00179755 0.000580222
0.229166 0.00166635 0.000560651
0.235314 0.00154897 0.0005526
0.241462 0.00144328 0.000536749
0.248224 0.0013384 0.000535125
0.255599 0.00123582 0.000524341
0.262973 0.00114431 0.00051919
0.270345 0.00106266 0.000512738
0.277716 0.000989404 0.000500541
0.285085 0.000923042 0.000495892
0.293066 0.000857396 0.000499674
0.301659 0.000792422 0.000503697
0.31025 0.000732227 0.000515514
0.318839 0.000676533 0.000528702
0.328038 0.0006223 0.000527597
0.337848 0.000570549 0.000524905
0.347654 0.000523843 0.000525668
0.357457 0.000481272 0.000524811
0.367256 0.000442616 0.000546746
0.377664 0.000405152 0.00057671
0.388679 0.0003687 0.000603385
0.39969 0.000335443 0.000685203
0.411307 0.00030352 0.000769501
0.423529 0.00027294 0.000857702
0.435744 0.000245407 0.000981836
0.447953 0.00022075 0.00117414
