# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.194774 0.00845391
0.0135649 0.189533 0.00762033
0.0147981 0.184262 0.00755636
0.0160312 0.178948 0.00569005
0.0172644 0.173576 0.00624744
0.0184976 0.168133 0.00503821
0.0197307 0.162606 0.00429589
0.0209639 0.156998 0.00407943
0.022197 0.151327 0.00356014
0.0234302 0.145627 0.0038106
0.0246633 0.139936 0.00446472
0.0258964 0.134297 0.00372445
0.0271296 0.128747 0.00375846
0.0283627 0.12332 0.00322035
0.0295958 0.11804 0.00356929
0.030829 0.112924 0.00290158
0.0320621 0.107984 0.00308662
0.0332952 0.103228 0.00277585
0.0345283 0.0986594 0.00269023
0.0357614 0.0942805 0.00301931
0.0369945 0.0900913 0.00261934
0.0382276 0.08609 0.00272694
0.0394606 0.082273 0.00232
0.0406937 0.0786353 0.00253125
0.0419268 0.0751711 0.00253563
0.0431599 0.0718741 0.00222734
0.0443929 0.0687377 0.00238582
0.045626 0.0657551 0.00227346
0.046859 0.0629194 0.00226949
0.048092 0.0602238 0.00209666
0.0493251 0.0576614 0.0020974
0.0505581 0.0552256 0.00204295
0.0517911 0.0529098 0.00198386
0.0530241 0.0507075 0.00211063
0.0542571 0.0486126 0.00195436
0.0554901 0.046619 0.00189876
0.0567231 0.0447213 0.00170944
0.057956 0.0429143 0.00169482
0.059189 0.0411931 0.00164583
0.060422 0.0395532 0.00167042
0.0616549 0.0379905 0.00170161
0.0628878 0.036501 0.00164868
0.0641208 0.0350811 0.00150727
0.0653537 0.0337273 0.00138159
0.0665866 0.032436 0.00153673
0.0678195 0.0312041 0.00151664
0.0690524 0.0300286 0.00141716
0.0702852 0.0289063 0.00136344
0.0715181 0.0278349 0.00147325
0.0727509 0.0268116 0.00129182
0.0739838 0.0258341 0.0012787
0.0752166 0.0249001 0.0012797
0.0764494 0.0240073 0.00129915
0.0776822 0.0231539 0.00126075
0.078915 0.0223379 0.00120997
0.0801478 0.0215575 0.00125857
0.0813806 0.020811 0.00116216
0.0826133 0.0200967 0.001149
0.083846 0.0194129 0.00112407
0.0850788 0.0187583 0.00112432
0.0863115 0.0181314 0.00105859
0.0875442 0.0175307 0.00102809
0.0887769 0.0169551 0.0010348
0.0900096 0.0164033 0.00101165
0.0912422 0.015874 0.00101465
0.0924749 0.0153663 0.00101357
0.0937075 0.0148791 0.000975439
0.0949401 0.0144116 0.000979551
0.0961727 0.0139628 0.000947632
0.0980216 0.0133226 0.000954785
0.100487 0.012527 0.000962851
0.102952 0.0117922 0.000941611
0.105417 0.0111132 0.000918299
0.107882 0.0104856 0.00089677
0.110347 0.00990555 0.000910366
0.112811 0.00936937 0.000938086
0.115276 0.00887381 0.000908607
0.117741 0.00841574 0.000881809
0.120205 0.00799205 0.000862065
0.12267 0.00759988 0.00087587
0.125134 0.00723652 0.000874632
0.127598 0.00689941 0.000895785
0.130063 0.00658626 0.000849582
0.133143 0.00622527 0.000849257
0.136839 0.00583184 0.000828093
0.140535 0.00547625 0.000817559
0.144231 0.00515351 0.000828696
0.147926 0.00485905 0.000798602
0.151621 0.00458849 0.000786754
0.155316 0.00433818 0.000788882
0.159011 0.00410488 0.000770855
0.162706 0.00388599 0.000768763
0.1664 0.0036797 0.000735055
0.17071 0.00345337 0.000717547
0.175635 0.003212 0.000696993
0.18056 0.00298796 0.000677908
0.185484 0.00277997 0.00065807
0.190408 0.00258679 0.000649897
0.195331 0.00240729 0.000638506
0.200254 0.00224072 0.000621128
0.205177 0.00208669 0.000614031
0.210714 0.00192803 0.000600238
0.216865 0.00176916 0.000586224
0.223016 0.00162713 0.000580222
0.229166 0.00150022 0.000560651
0.235314 0.00138689 0.0005526
0.241462 0.00128594 0.000536749
0.248224 0.00118781 0.000535125
0.255599 0.00109431 0.000524341
0.262973 0.00101274 0.00051919
0.270345 0.000940873 0.000512738
0.277716 0.000876807 0.000500541
0.285085 0.000819192 0.000495892
0.293066 0.000762876 0.000499674
0.301659 0.000707689 0.000503697
0.31025 0.000656307 0.000515514
0.318839 0.000607657 0.000528702
0.328038 0.000558625 0.000527597
0.337848 0.000510543 0.000524905
0.347654 0.000467392 0.000525668
0.357457 0.000429361 0.000524811
0.367256 0.000396016 0.000546746
0.377664 0.000364703 0.00057671
0.388679 0.000335058 0.000603385
0.39969 0.000308257 0.000685203
0.411307 0.000282333 0.000769501
0.423529 0.000256871 0.000857702
0.435744 0.000233061 0.000981836
0.447953 0.000211177 0.00117414
