# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.19435 0.00845391
0.0135649 0.188686 0.00762033
0.0147981 0.182992 0.00755636
0.0160312 0.177256 0.00569005
0.0172644 0.171462 0.00624744
0.0184976 0.165598 0.00503821
0.0197307 0.159653 0.00429589
0.0209639 0.153632 0.00407943
0.022197 0.147561 0.00356014
0.0234302 0.141483 0.0038106
0.0246633 0.135442 0.00446472
0.0258964 0.129488 0.00372445
0.0271296 0.123664 0.00375846
0.0283627 0.118003 0.00322035
0.0295958 0.112529 0.00356929
0.030829 0.107259 0.00290158
0.0320621 0.102203 0.00308662
0.0332952 0.0973652 0.00277585
0.0345283 0.0927484 0.00269023
0.0357614 0.0883519 0.00301931
0.0369945 0.0841729 0.00261934
0.0382276 0.0802066 0.00272694
0.0394606 0.0764464 0.00232
0.0406937 0.0728849 0.00253125
0.0419268 0.0695141 0.00253563
0.0431599 0.0663254 0.00222734
0.0443929 0.0633101 0.00238582
0.045626 0.0604594 0.00227346
0.046859 0.0577646 0.00226949
0.048092 0.0552168 0.00209666
0.0493251 0.0528074 0.0020974
0.0505581 0.0505282 0.00204295
0.0517911 0.0483711 0.00198386
0.0530241 0.0463288 0.00211063
0.0542571 0.0443943 0.00195436
0.0554901 0.042561 0.00189876
0.0567231 0.0408229 0.00170944
0.057956 0.0391743 0.00169482
0.059189 0.0376097 0.00164583
0.060422 0.0361244 0.00167042
0.0616549 0.0347137 0.00170161
0.0628878 0.0333735 0.00164868
0.0641208 0.0320997 0.00150727
0.0653537 0.0308888 0.00138159
0.0665866 0.0297373 0.00153673
0.0678195 0.0286418 0.00151664
0.0690524 0.0275994 0.00141716
0.0702852 0.0266071 0.00136344
0.0715181 0.0256621 0.00147325
0.0727509 0.0247618 0.00129182
0.0739838 0.0239039 0.0012787
0.0752166 0.023086 0.0012797
0.0764494 0.0223059 0.00129915
0.0776822 0.0215617 0.00126075
0.078915 0.0208514 0.00120997
0.0801478 0.0201731 0.00125857
0.0813806 0.0195251 0.00116216
0.0826133 0.0189057 0.001149
0.083846 0.0183133 0.00112407
0.0850788 0.0177463 0.00112432
0.0863115 0.0172034 0.00105859
0.0875442 0.0166831 0.00102809
0.0887769 0.0161841 0.0010348
0.0900096 0.0157052 0.00101165
0.0912422 0.0152453 0.00101465
0.0924749 0.0148033 0.00101357
0.0937075 0.0143782 0.000975439
0.0949401 0.013969 0.000979551
0.0961727 0.013575 0.000947632
0.0980216 0.0130105 0.000954785
0.100487 0.0123037 0.000962851
0.102952 0.0116447 0.000941611
0.105417 0.0110293 0.000918299
0.107882 0.0104544 0.00089677
0.110347 0.0099172 0.000910366
0.112811 0.0094155 0.000938086
0.115276 0.00894733 0.000908607
0.117741 0.00851088 0.000881809
0.120205 0.00810438 0.000862065
0.12267 0.00772601 0.00087587
0.125134 0.00737386 0.000874632
0.127598 0.00704587 0.000895785
0.130063 0.00674 0.000849582
0.133143 0.00638566 0.000849257
0.136839 0.00599641 0.000828093
0.140535 0.00564069 0.000817559
0.144231 0.00531346 0.000828696
0.147926 0.00501081 0.000798602
0.151621 0.00472968 0.000786754
0.155316 0.00446774 0.000788882
0.159011 0.00422306 0.000770855
0.162706 0.00399391 0.000768763
0.1664 0.00377877 0.000735055
0.17071 0.00354355 0.000717547
0.175635 0.00329327 0.000696993
0.18056 0.00306089 0.000677908
0.185484 0.00284527 0.00065807
0.190408 0.00264571 0.000649897
0.195331 0.00246163 0.000638506
0.200254 0.00229223 0.000621128
0.205177 0.00213643 0.000614031
0.210714 0.00197619 0.000600238
0.216865 0.00181555 0.000586224
0.223016 0.00167225 0.000580222
0.229166 0.00154525 0.000560651
0.235314 0.00143295 0.0005526
0.241462 0.00133337 0.000536749
0.248224 0.00123622 0.000535125
0.255599 0.00114274 0.000524341
0.262973 0.00106029 0.00051919
0.270345 0.000986937 0.000512738
0.277716 0.000920647 0.000500541
0.285085 0.000859717 0.000495892
0.293066 0.000798519 0.000499674
0.301659 0.000737513 0.000503697
0.31025 0.000681292 0.000515514
0.318839 0.000629814 0.000528702
0.328038 0.000579952 0.000527597
0.337848 0.000532277 0.000524905
0.347654 0.000489372 0.000525668
0.357457 0.000450661 0.000524811
0.367256 0.000415544 0.000546746
0.377664 0.00038152 0.00057671
0.388679 0.000348877 0.000603385
0.39969 0.000319276 0.000685203
0.411307 0.000290775 0.000769501
0.423529 0.000263538 0.000857702
0.435744 0.000238649 0.000981836
0.447953 0.000215676 0.00117414
