# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.197126 0.00845391
0.0135649 0.194236 0.00762033
0.0147981 0.191316 0.00755636
0.0160312 0.18835 0.00569005
0.0172644 0.185325 0.00624744
0.0184976 0.182226 0.00503821
0.0197307 0.179039 0.00429589
0.0209639 0.17575 0.00407943
0.022197 0.17235 0.00356014
0.0234302 0.168832 0.0038106
0.0246633 0.165195 0.00446472
0.0258964 0.161447 0.00372445
0.0271296 0.157605 0.00375846
0.0283627 0.15369 0.00322035
0.0295958 0.14972 0.00356929
0.030829 0.145713 0.00290158
0.0320621 0.141686 0.00308662
0.0332952 0.137655 0.00277585
0.0345283 0.133633 0.00269023
0.0357614 0.129635 0.00301931
0.0369945 0.125672 0.00261934
0.0382276 0.121755 0.00272694
0.0394606 0.117889 0.00232
0.0406937 0.114079 0.00253125
0.0419268 0.110329 0.00253563
0.0431599 0.106643 0.00222734
0.0443929 0.103023 0.00238582
0.045626 0.0994712 0.00227346
0.046859 0.0959915 0.00226949
0.048092 0.0925859 0.00209666
0.0493251 0.0892567 0.0020974
0.0505581 0.0860054 0.00204295
0.0517911 0.0828336 0.00198386
0.0530241 0.0797421 0.00211063
0.0542571 0.0767317 0.00195436
0.0554901 0.0738029 0.00189876
0.0567231 0.070956 0.00170944
0.057956 0.0681917 0.00169482
0.059189 0.0655101 0.00164583
0.060422 0.0629115 0.00167042
0.0616549 0.0603959 0.00170161
0.0628878 0.0579632 0.00164868
0.0641208 0.0556127 0.00150727
0.0653537 0.0533436 0.00138159
0.0665866 0.0511545 0.00153673
0.0678195 0.0490437 0.00151664
0.0690524 0.0470096 0.00141716
0.0702852 0.0450502 0.00136344
0.0715181 0.0431633 0.00147325
0.0727509 0.0413472 0.00129182
0.0739838 0.0395998 0.0012787
0.0752166 0.0379193 0.0012797
0.0764494 0.0363037 0.00129915
0.0776822 0.0347512 0.00126075
0.078915 0.03326 0.00120997
0.0801478 0.031828 0.00125857
0.0813806 0.0304533 0.00116216
0.0826133 0.0291341 0.001149
0.083846 0.0278683 0.00112407
0.0850788 0.0266541 0.00112432
0.0863115 0.0254895 0.00105859
0.0875442 0.0243728 0.00102809
0.0887769 0.0233022 0.0010348
0.0900096 0.0222762 0.00101165
0.0912422 0.0212932 0.00101465
0.0924749 0.0203516 0.00101357
0.0937075 0.0194501 0.000975439
0.0949401 0.0185872 0.000979551
0.0961727 0.0177616 0.000947632
0.0980216 0.0165904 0.000954785
0.100487 0.0151473 0.000962851
0.102952 0.0138312 0.000941611
0.105417 0.0126328 0.000918299
0.107882 0.0115442 0.00089677
0.110347 0.0105579 0.000910366
0.112811 0.00966679 0.000938086
0.115276 0.00886406 0.000908607
0.117741 0.00814308 0.000881809
0.120205 0.0074975 0.000862065
0.12267 0.00692137 0.00087587
0.125134 0.00640875 0.000874632
0.127598 0.00595394 0.000895785
0.130063 0.00555158 0.000849582
0.133143 0.00511442 0.000849257
0.136839 0.00467352 0.000828093
0.140535 0.00430881 0.000817559
0.144231 0.00400582 0.000828696
0.147926 0.00375187 0.000798602
0.151621 0.00353567 0.000786754
0.155316 0.00334771 0.000788882
0.159011 0.00318036 0.000770855
0.162706 0.00302758 0.000768763
0.1664 0.00288494 0.000735055
0.17071 0.00272716 0.000717547
0.175635 0.00255396 0.000696993
0.18056 0.00238613 0.000677908
0.185484 0.00222246 0.00065807
0.190408 0.00206292 0.000649897
0.195331 0.00190838 0.000638506
0.200254 0.00175988 0.000621128
0.205177 0.00161867 0.000614031
0.210714 0.00146998 0.000600238
0.216865 0.001319 0.000586224
0.223016 0.00118391 0.000580222
0.229166 0.00106511 0.000560651
0.235314 0.000962115 0.0005526
0.241462 0.000874196 0.000536749
0.248224 0.000793569 0.000535125
0.255599 0.000722993 0.000524341
0.262973 0.000667935 0.00051919
0.270345 0.000625204 0.000512738
0.277716 0.000591234 0.000500541
0.285085 0.000562622 0.000495892
0.293066 0.000534334 0.000499674
0.301659 0.000504133 0.000503697
0.31025 0.000472684 0.000515514
0.318839 0.000440069 0.000528702
0.328038 0.00040511 0.000527597
0.337848 0.000369842 0.000524905
0.347654 0.000338758 0.000525668
0.357457 0.000313332 0.000524811
0.367256 0.000293817 0.000546746
0.377664 0.000278385 0.00057671
0.388679 0.00026553 0.000603385
0.39969 0.000253573 0.000685203
0.411307 0.000239924 0.000769501
0.423529 0.000223736 0.000857702
0.435744 0.000206671 0.000981836
0.447953 0.000190461 0.00117414
