# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.197188 0.00845391
0.0135649 0.19436 0.00762033
0.0147981 0.191502 0.00755636
0.0160312 0.188599 0.00569005
0.0172644 0.185636 0.00624744
0.0184976 0.182599 0.00503821
0.0197307 0.179474 0.00429589
0.0209639 0.176247 0.00407943
0.022197 0.172908 0.00356014
0.0234302 0.169448 0.0038106
0.0246633 0.165865 0.00446472
0.0258964 0.162167 0.00372445
0.0271296 0.158372 0.00375846
0.0283627 0.154498 0.00322035
0.0295958 0.150563 0.00356929
0.030829 0.146587 0.00290158
0.0320621 0.142584 0.00308662
0.0332952 0.138573 0.00277585
0.0345283 0.134567 0.00269023
0.0357614 0.130581 0.00301931
0.0369945 0.126627 0.00261934
0.0382276 0.122714 0.00272694
0.0394606 0.118849 0.00232
0.0406937 0.115038 0.00253125
0.0419268 0.111284 0.00253563
0.0431599 0.10759 0.00222734
0.0443929 0.10396 0.00238582
0.045626 0.100398 0.00227346
0.046859 0.0969048 0.00226949
0.048092 0.0934846 0.00209666
0.0493251 0.0901393 0.0020974
0.0505581 0.0868706 0.00204295
0.0517911 0.0836801 0.00198386
0.0530241 0.0805688 0.00211063
0.0542571 0.0775378 0.00195436
0.0554901 0.0745876 0.00189876
0.0567231 0.0717189 0.00170944
0.057956 0.0689321 0.00169482
0.059189 0.0662276 0.00164583
0.060422 0.0636058 0.00167042
0.0616549 0.0610666 0.00170161
0.0628878 0.0586099 0.00164868
0.0641208 0.056235 0.00150727
0.0653537 0.0539412 0.00138159
0.0665866 0.0517272 0.00153673
0.0678195 0.0495913 0.00151664
0.0690524 0.0475322 0.00141716
0.0702852 0.0455476 0.00136344
0.0715181 0.0436358 0.00147325
0.0727509 0.0417948 0.00129182
0.0739838 0.0400227 0.0012787
0.0752166 0.0383177 0.0012797
0.0764494 0.0366779 0.00129915
0.0776822 0.0351015 0.00126075
0.078915 0.0335868 0.00120997
0.0801478 0.0321318 0.00125857
0.0813806 0.0307346 0.00116216
0.0826133 0.0293935 0.001149
0.083846 0.0281064 0.00112407
0.0850788 0.0268716 0.00112432
0.0863115 0.0256871 0.00105859
0.0875442 0.0245512 0.00102809
0.0887769 0.0234622 0.0010348
0.0900096 0.0224186 0.00101165
0.0912422 0.0214188 0.00101465
0.0924749 0.0204613 0.00101357
0.0937075 0.0195447 0.000975439
0.0949401 0.0186675 0.000979551
0.0961727 0.0178285 0.000947632
0.0980216 0.0166388 0.000954785
0.100487 0.015174 0.000962851
0.102952 0.0138394 0.000941611
0.105417 0.0126258 0.000918299
0.107882 0.011525 0.00089677
0.110347 0.0105294 0.000910366
0.112811 0.00963126 0.000938086
0.115276 0.00882381 0.000908607
0.117741 0.00810016 0.000881809
0.120205 0.00745373 0.000862065
0.12267 0.00687819 0.00087587
0.125134 0.00636726 0.000874632
0.127598 0.00591498 0.000895785
0.130063 0.0055158 0.000849582
0.133143 0.00508321 0.000849257
0.136839 0.00464805 0.000828093
0.140535 0.00428866 0.000817559
0.144231 0.00399025 0.000828696
0.147926 0.00373998 0.000798602
0.151621 0.0035264 0.000786754
0.155316 0.00334007 0.000788882
0.159011 0.00317354 0.000770855
0.162706 0.00302094 0.000768763
0.1664 0.00287794 0.000735055
0.17071 0.00271931 0.000717547
0.175635 0.00254488 0.000696993
0.18056 0.00237575 0.000677908
0.185484 0.00221097 0.00065807
0.190408 0.00205069 0.000649897
0.195331 0.00189578 0.000638506
0.200254 0.00174724 0.000621128
0.205177 0.00160625 0.000614031
0.210714 0.00145792 0.000600238
0.216865 0.00130731 0.000586224
0.223016 0.00117241 0.000580222
0.229166 0.00105368 0.000560651
0.235314 0.000950848 0.0005526
0.241462 0.000863465 0.000536749
0.248224 0.000783947 0.000535125
0.255599 0.000714908 0.000524341
0.262973 0.000661229 0.00051919
0.270345 0.000619384 0.000512738
0.277716 0.000585855 0.000500541
0.285085 0.000557455 0.000495892
0.293066 0.000529397 0.000499674
0.301659 0.00049953 0.000503697
0.31025 0.00046841 0.000515514
0.318839 0.000435974 0.000528702
0.328038 0.00040104 0.000527597
0.337848 0.000365766 0.000524905
0.347654 0.000334777 0.000525668
0.357457 0.00030955 0.000524811
0.367256 0.000290255 0.000546746
0.377664 0.000275002 0.00057671
0.388679 0.000262332 0.000603385
0.39969 0.000250713 0.000685203
0.411307 0.000237668 0.000769501
0.423529 0.000222264 0.000857702
0.435744 0.00020579 0.000981836
0.447953 0.000189808 0.00117414
