# #  DATA=SAXS PRIOR=GAUSS
0.0110986 0.2 0.0111403
0.0123317 0.193754 0.00845391
0.0135649 0.187493 0.00762033
0.0147981 0.181206 0.00755636
0.0160312 0.174878 0.00569005
0.0172644 0.168496 0.00624744
0.0184976 0.162048 0.00503821
0.0197307 0.155524 0.00429589
0.0209639 0.148934 0.00407943
0.022197 0.14231 0.00356014
0.0234302 0.135705 0.0038106
0.0246633 0.129173 0.00446472
0.0258964 0.122771 0.00372445
0.0271296 0.116545 0.00375846
0.0283627 0.110531 0.00322035
0.0295958 0.104754 0.00356929
0.030829 0.0992306 0.00290158
0.0320621 0.0939676 0.00308662
0.0332952 0.0889682 0.00277585
0.0345283 0.0842314 0.00269023
0.0357614 0.0797532 0.00301931
0.0369945 0.0755276 0.00261934
0.0382276 0.0715473 0.00272694
0.0394606 0.0678034 0.00232
0.0406937 0.0642862 0.00253125
0.0419268 0.0609851 0.00253563
0.0431599 0.0578893 0.00222734
0.0443929 0.0549879 0.00238582
0.045626 0.05227 0.00227346
0.046859 0.0497245 0.00226949
0.048092 0.0473405 0.00209666
0.0493251 0.0451073 0.0020974
0.0505581 0.0430149 0.00204295
0.0517911 0.0410537 0.00198386
0.0530241 0.0392145 0.00211063
0.0542571 0.0374888 0.00195436
0.0554901 0.0358683 0.00189876
0.0567231 0.0343455 0.00170944
0.057956 0.0329135 0.00169482
0.059189 0.0315658 0.00164583
0.060422 0.0302967 0.00167042
0.0616549 0.0291007 0.00170161
0.0628878 0.027973 0.00164868
0.0641208 0.0269089 0.00150727
0.0653537 0.0259042 0.00138159
0.0665866 0.0249552 0.00153673
0.0678195 0.0240582 0.00151664
0.0690524 0.0232102 0.00141716
0.0702852 0.0224081 0.00136344
0.0715181 0.0216492 0.00147325
0.0727509 0.0209309 0.00129182
0.0739838 0.0202505 0.0012787
0.0752166 0.0196057 0.0012797
0.0764494 0.0189943 0.00129915
0.0776822 0.0184143 0.00126075
0.078915 0.0178638 0.00120997
0.0801478 0.0173409 0.00125857
0.0813806 0.0168439 0.00116216
0.0826133 0.0163711 0.001149
0.083846 0.0159208 0.00112407
0.0850788 0.0154917 0.00112432
0.0863115 0.0150822 0.00105859
0.0875442 0.0146911 0.00102809
0.0887769 0.014317 0.0010348
0.0900096 0.0139589 0.00101165
0.0912422 0.0136157 0.00101465
0.0924749 0.0132863 0.00101357
0.0937075 0.0129699 0.000975439
0.0949401 0.0126655 0.000979551
0.0961727 0.0123723 0.000947632
0.0980216 0.0119519 0.000954785
0.100487 0.0114245 0.000962851
0.102952 0.0109308 0.000941611
0.105417 0.0104671 0.000918299
0.107882 0.0100301 0.00089677
0.110347 0.00961745 0.000910366
0.112811 0.00922703 0.000938086
0.115276 0.00885699 0.000908607
0.117741 0.00850573 0.000881809
0.120205 0.00817177 0.000862065
0.12267 0.00785383 0.00087587
0.125134 0.00755074 0.000874632
0.127598 0.00726139 0.000895785
0.130063 0.00698474 0.000849582
0.133143 0.0066555 0.000849257
0.136839 0.00628277 0.000828093
0.140535 0.00593239 0.000817559
0.144231 0.00560267 0.000828696
0.147926 0.0052921 0.000798602
0.151621 0.0049996 0.000786754
0.155316 0.00472408 0.000788882
0.159011 0.00446468 0.000770855
0.162706 0.00422056 0.000768763
0.1664 0.00399082 0.000735055
0.17071 0.00373985 0.000717547
0.175635 0.00347375 0.000696993
0.18056 0.00322804 0.000677908
0.185484 0.00300132 0.00065807
0.190408 0.00279271 0.000649897
0.195331 0.00260152 0.000638506
0.200254 0.00242686 0.000621128
0.205177 0.00226745 0.000614031
0.210714 0.00210434 0.000600238
0.216865 0.00194091 0.000586224
0.223016 0.0017944 0.000580222
0.229166 0.0016637 0.000560651
0.235314 0.0015474 0.0005526
0.241462 0.00144353 0.000536749
0.248224 0.00134107 0.000535125
0.255599 0.00124063 0.000524341
0.262973 0.0011498 0.00051919
0.270345 0.00106714 0.000512738
0.277716 0.000992018 0.000500541
0.285085 0.000923984 0.000495892
0.293066 0.000857315 0.000499674
0.301659 0.000792333 0.000503697
0.31025 0.000733062 0.000515514
0.318839 0.000678271 0.000528702
0.328038 0.000623771 0.000527597
0.337848 0.000570496 0.000524905
0.347654 0.000522507 0.000525668
0.357457 0.00047954 0.000524811
0.367256 0.000440884 0.000546746
0.377664 0.000403676 0.00057671
0.388679 0.000367812 0.000603385
0.39969 0.00033507 0.000685203
0.411307 0.000303501 0.000769501
0.423529 0.000273138 0.000857702
0.435744 0.000245558 0.000981836
0.447953 0.000220794 0.00117414
